taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
alien_species_cyprus:taxon:776cf676f1e5e919a9480a89e8da61d9,323327896,"Globodera rostochiensis (Wollenweber, 1923)",scientificName_replaced_by_backbone_name,5188667,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959"
alien_species_cyprus:taxon:141b284aae5b3b867a1b0115ddbfdd05,323327905,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920 emend. Hauben et al., 1998 emend. Hauben & al. , 1998",scientificName_replaced_by_backbone_name,3222012,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920"
alien_species_cyprus:taxon:6606100eed3bfe8ea452cd17bb680fb7,323327915,"Xanthomonas axonopodis Starr & Garces, 1950 emend. Vauterin et al., 1995 emend. Vauterin & al. , 1995",scientificName_replaced_by_backbone_name,8900922,"Xanthomonas axonopodis Starr & Garces, 1950"
alien_species_cyprus:taxon:12039dfbb0c16becb3aa8c84168fa1a8,323327923,"Globodera pallida (Stone, 1973)",scientificName_replaced_by_backbone_name,5188665,"Globodera pallida Stone, 1973"
alien_species_cyprus:taxon:adb18462984196958770503f1d7f7fff,323327926,"Rhizobium radiobacter (Beijerinck & van Delden, 1902) Young et al., 2001",merged_with_accepted,3220735,"Agrobacterium radiobacter (Beijerinck & van Delden, 1902) Conn, 1942"
alien_species_cyprus:taxon:c5c104a2fb49854b5a7c35164d7091f7,323327929,"Meloidogyne javanica (Treub, 1885)",scientificName_replaced_by_backbone_name,4556287,"Meloidogyne javanica (Treub, 1885) Chitwood, 1949"
alien_species_cyprus:taxon:fc5f315e6f17136a83673dabe2ae8a0e,323327931,"Meloidogyne incognita (Kofoid & White, 1919)",scientificName_replaced_by_backbone_name,4556282,"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949"
alien_species_cyprus:taxon:971c08ec0164d8d3aadd55ee136c157b,323327933,"Meloidogyne arenaria Neal, 1889",not_matched_with_backbone,,
alien_species_cyprus:taxon:93ae2c07cea1a2dfcd19573565d2f547,323327943,"Clavibacter michiganensis michiganensis (Smith, 1910) Davis et al., 1984",not_matched_with_backbone,,
alien_species_cyprus:taxon:24c41271e9c18dec1914324a4ef65b17,323327944,Ditylenchus destructor Thorne 1945,scientificName_replaced_by_backbone_name,4555875,"Ditylenchus destructor Thorne, 1945"
alien_species_cyprus:taxon:58aacf9e88cf506b375986e280ac47af,323327946,"Ditylenchus dipsaci (Kuhn, 1857)",scientificName_replaced_by_backbone_name,2283953,"Ditylenchus dipsaci (Kühn, 1857) Filipjev, 1936"
alien_species_cyprus:taxon:8960c53d630262f43bbee05536f177ee,323327962,Xiphinema brevicolle Lordello & Da Costa 1961,scientificName_replaced_by_backbone_name,4554475,"Xiphinema brevicolle Lordello & Da Costa, 1961"
alien_species_cyprus:taxon:f84d89138461e52e4866cdd77102690c,323327965,Xiphinema italiae Meyl 1953,scientificName_replaced_by_backbone_name,4554459,"Xiphinema italiae Meyl, 1953"
alien_species_cyprus:taxon:20cf7bbf5c718016410f4ca422cb5b09,323327976,"Aricidea (Aricidea) fragilis Webster, 1879",scientificName_replaced_by_backbone_name,2318506,"Aricidea fragilis Webster, 1879"
alien_species_cyprus:taxon:8bc75fed1157a2d4b46bc8aadd8af83a,323327984,"Stypopodium schimperi (Kützing) M.Verlaque & Boudouresque, 1991",scientificName_replaced_by_backbone_name,3200580,Stypopodium schimperi (Kützing) Verlaque & Boudouresque
alien_species_cyprus:taxon:6aeda9f8bbe892207c1c2626e76e9bf5,323327985,"Oenone cf. fulgida (Lamarck, 1818)",scientificName_replaced_by_backbone_name,5197940,"Oenone fulgida (Lamarck, 1818)"
alien_species_cyprus:taxon:8345e173c13c41fdec83b22841a35940,323328008,"Lysidice collaris Grube, 1870",scientificName_replaced_by_backbone_name,5198157,"Lysidice collaris Grube, 1868"
alien_species_cyprus:taxon:c3d8c08c500d6ab3b616268fed638809,323328014,Macrophomina phaseolina (Tassi) Goid. 1947,scientificName_replaced_by_backbone_name,2611508,Macrophomina phaseolina (Tassi) Goid.
alien_species_cyprus:taxon:ee25ba1eddf6152f99de81a0b83f0cf2,323328024,Ophiognomonia leptostyla (Fr.) Sogonov 2008,scientificName_replaced_by_backbone_name,5952582,Ophiognomonia leptostyla (Fr.) Sogonov
alien_species_cyprus:taxon:6a8017409b4f5c7879c9a530cd06cc16,323328032,Seiridium cardinale (W.W. Wagener) B. Sutton & I.A.S. Gibson 1972,scientificName_replaced_by_backbone_name,2575053,Seiridium cardinale (W.W.Wagener) B.Sutton & I.A.S.Gibson
alien_species_cyprus:taxon:42d345c58b72a629332492cdd2b28c7c,323328049,"Hydroides elegans (Haswell, 1883) [nomen protectum]",not_matched_with_backbone,,
alien_species_cyprus:taxon:d9e3145196a01afa17e7719f97619245,323328052,Chlorophyllum molybdites (G. Mey.) Massee,scientificName_replaced_by_backbone_name,5243168,Chlorophyllum molybdites (G.Mey.) Massee
alien_species_cyprus:taxon:daedcf9f13725163e1eaf478f20b3c0b,323328062,"Spirorbis (Spirorbis) marioni Caullery & Mesnil, 1897",scientificName_replaced_by_backbone_name,5199417,"Spirorbis marioni Caullery & Mesnil, 1897"
alien_species_cyprus:taxon:3a23bc510f5e47fb354824224f7d5e39,323328064,Phytophthora citrophthora (R.E. Sm. & E.H. Sm.) Leonian 1925,scientificName_replaced_by_backbone_name,3203668,Phytophthora citrophthora (R.E.Sm. & E.H.Sm.) Leonian
alien_species_cyprus:taxon:95caea279d7c7a8847bc902890ae06c5,323328084,"Cladophora cf. patentiramea Kützing, 1849",merged_with_accepted,4375452,Chaetomorpha patentiramea (Mont) Kutz.
alien_species_cyprus:taxon:1b7a148ae18770af0d6d8e6c0f692323,323328099,Caulerpa taxifolia var. distichophylla (M.Vahl) C.Agardh,not_matched_with_backbone,,
alien_species_cyprus:taxon:2cd71dd556f539881c654f28a66c2cc6,323328131,"Nereis agulhana Day, 1963",merged_with_accepted,5196692,"Neanthes agulhana (Day, 1963)"
alien_species_cyprus:taxon:1d8cc1651a383c46731ad332ab4a1c5e,323328135,"Alitta virens (M. Sars, 1835)",scientificName_replaced_by_backbone_name,2315395,"Alitta virens (M.Sars, 1835)"
alien_species_cyprus:taxon:8ac10865c8d0eaa6950d9f634f960e91,323328137,"Ganonema farinosum K.C.Fan & Yung C.Wang, 1974",scientificName_replaced_by_backbone_name,5278659,Ganonema farinosum (J.V.Lamour.) K.C.Fan & Yung C.Wang
alien_species_cyprus:taxon:bea5a6d6b1ac732e25623752760b0538,323328146,"Asparagopsis armata Harvey, 1855",scientificName_replaced_by_backbone_name,5279840,Asparagopsis armata Harv.
alien_species_cyprus:taxon:7110cad2db2873f15eefd3d651a5a472,323328154,"Chondria coerulescens Falkenberg, 1901",scientificName_replaced_by_backbone_name,5279755,Chondria coerulescens (J.Agardh) Falkenb.
alien_species_cyprus:taxon:13fba644d30f31b7cc94db127398763f,323328158,Vertebrata fucoides (Huds.) Kuntze,merged_with_accepted,12194263,Vertebrata spec (Hudson) Kuntze
alien_species_cyprus:taxon:945f6ed52af397e902cf5538fe2cdfa1,323328162,"Acanthophora nayadiformis Papenfuss, 1968",scientificName_replaced_by_backbone_name,5277294,"Acanthophora nayadiformis (Delile) Papenf., 1968"
alien_species_cyprus:taxon:82ce88ef6453a07c940781cfe85c3c8a,323328166,Bryocladia atlantica (Kapraun & J.N.Norris) Díaz-Tapia 2023,not_matched_with_backbone,,
alien_species_cyprus:taxon:0d7fe7f5b984bf836a9858afe8c4bd0a,323328168,"Polysiphonia kampsaxii Børgesen, 1939",scientificName_replaced_by_backbone_name,5277847,"Polysiphonia kampsaxii Borgesen, 1939"
alien_species_cyprus:taxon:6e5bf7abbdb80be5d6ee301d3ef576f0,323328172,"Laurencia minuta Vandermeulen, Garbary & Guiry",not_matched_with_backbone,,
alien_species_cyprus:taxon:75471e51c37ab42cc24ad45548d15e4e,323328180,"Womersleyella setacea R.E.Norris, 1992",scientificName_replaced_by_backbone_name,5277463,Womersleyella setacea (Hollenberg) R.E.Norris
alien_species_cyprus:taxon:71843dc0eb980a999b4e682fde817865,323328242,Carijoa cf. riisei,not_matched_with_backbone,,
alien_species_cyprus:taxon:f7bb4748d6dfc6f62aad9429c20d7f95,323328249,Sequoiadendron giganteum (Lindl.) J.T. Buchholz,scientificName_replaced_by_backbone_name,2684120,Sequoiadendron giganteum (Lindl.) J.T.Buchholz
alien_species_cyprus:taxon:2c47792fca847135062dacef71510955,323328252,"Cassiopea andromeda (Forsskål, 1775)",scientificName_replaced_by_backbone_name,2264603,"Cassiopea andromeda (Forskål, 1775)"
alien_species_cyprus:taxon:b66369f6d1d78bbe0e9e11de31554ed1,323328258,"Rhopilema nomadica Galil, 1990",scientificName_replaced_by_backbone_name,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990"
alien_species_cyprus:taxon:60cd84f04f5733dbc836faf1aa9b0181,323328262,Sequoia sempervirens (D. Don) Endl.,scientificName_replaced_by_backbone_name,2683909,Sequoia sempervirens (D.Don) Endl.
alien_species_cyprus:taxon:c5021974fdbe7e7833eaa6276205b54d,323328270,Cedrus deodara (Lamb.) G. Don,scientificName_replaced_by_backbone_name,5284698,Cedrus deodara (Lamb.) G.Don
alien_species_cyprus:taxon:8adf2e02c8c38df0c5045c16a28fd6e5,323328272,Cedrus libani A. Rich.,scientificName_replaced_by_backbone_name,5284682,Cedrus libani A.Rich.
alien_species_cyprus:taxon:2919f86e3da72300a0a3f9f2f5ce43e5,323328284,"Phascolosoma (Phascolosoma) scolops (Selenka & de Man, 1883)",merged_with_accepted,2509985,"Phascolosoma carneum Leuckart & Rüppell, 1828"
alien_species_cyprus:taxon:a36853e482c2e4c11ea5055eac7a40aa,323328287,Pinus canariensis C. Sm.,scientificName_replaced_by_backbone_name,5285243,Pinus canariensis C.Sm.
alien_species_cyprus:taxon:2c184f4d66f089077ce9c1495c087cca,323328291,Pinus sabiniana Douglas ex D. Don,scientificName_replaced_by_backbone_name,5285255,Pinus sabiniana Douglas ex D.Don
alien_species_cyprus:taxon:b735889c5ce917057caaf44352167521,323328293,Pinus radiata D. Don,scientificName_replaced_by_backbone_name,5285727,Pinus radiata D.Don
