taxonID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
alien_species_cyprus:taxon:0011a330652fe0d2f1a1824432e2b3dc,Cyprus,CY,present,introduced,invasive,forestry,1890/2007,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Hadjikyriakou G, Hadjisterkotis E (2002) The adventive plants of Cyprus with new records of invasive species. Zeitschrift fur Jagdwissenschaft 48: 59–71. https://doi.org/10.1007/BF02192393Tsintides T, Hadjikyriakou GN, Christodoulou CS (2002) Trees and shrubs in Cyprus. Foundation Anastasios G. Leventis—Cyprus Forest Association, Nicosia, Cyprus. | Hadjikyriakou GN (2013) Contribution to the study of the Flora of Cyprus. Dasoponos 54: 7-10.",
alien_species_cyprus:taxon:002d937e875e8cb87037a6234976409f,Cyprus,CY,present,introduced,,unaided,2010/2010,"Ragonese S, Giusto B (2011) Deep water occurrence of Penaeus semisulcatus De Haan, 1850, in the North Levant (Eastern Mediterranean Sea) (Crustacea: Decapoda: Penaeidae). Zoology in the Middle East 54: 141-143. https://doi.org/10.1080/09397140.2011.10648889",
alien_species_cyprus:taxon:00464d8f171c659bad12fe7126006469,Cyprus,CY,present,introduced,cultivated,agriculture,1954/1954,"Meikle RD (1985) Flora of Cyprus, Vol. 2.",
alien_species_cyprus:taxon:006ac2ce2ead9cb458e9674d45a75aa4,Cyprus,CY,present,introduced,casual,horticulture,1998/1998,"Georgiades C (1987) Flowers of Cyprus: plants of medicine 2, Nicosia.Hand R (2009) Supplementary notes to the flora of Cyprus VI. Willdenowia 39(2): 301-325. http://dx.doi.org/10.3372/wi.39.39209EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/",
alien_species_cyprus:taxon:006ac2ce2ead9cb458e9674d45a75aa4,Cyprus,CY,present,introduced,casual,ornamentalNonHorticulture,1998/1998,"Georgiades C (1987) Flowers of Cyprus: plants of medicine 2, Nicosia.Hand R (2009) Supplementary notes to the flora of Cyprus VI. Willdenowia 39(2): 301-325. http://dx.doi.org/10.3372/wi.39.39209EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/",
alien_species_cyprus:taxon:00a10400d52bebf8c6b7170ccbe39e5e,Cyprus,CY,present,introduced,cultivated,agriculture,1915/1936,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Tsintides T, Hadjikyriakou GN, Christodoulou CS (2002) Trees and shrubs in Cyprus. Foundation Anastasios G. Leventis—Cyprus Forest Association, Nicosia, Cyprus.Christofides Y (2017) Illustrated flora of Cyprus. Yiannis Christofides, Cyprus, 383 pp.EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/",
alien_species_cyprus:taxon:00a10400d52bebf8c6b7170ccbe39e5e,Cyprus,CY,present,introduced,cultivated,horticulture,1915/1936,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Tsintides T, Hadjikyriakou GN, Christodoulou CS (2002) Trees and shrubs in Cyprus. Foundation Anastasios G. Leventis—Cyprus Forest Association, Nicosia, Cyprus.Christofides Y (2017) Illustrated flora of Cyprus. Yiannis Christofides, Cyprus, 383 pp.EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/",
alien_species_cyprus:taxon:00a10400d52bebf8c6b7170ccbe39e5e,Cyprus,CY,present,introduced,cultivated,ornamentalNonHorticulture,1915/1936,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Tsintides T, Hadjikyriakou GN, Christodoulou CS (2002) Trees and shrubs in Cyprus. Foundation Anastasios G. Leventis—Cyprus Forest Association, Nicosia, Cyprus.Christofides Y (2017) Illustrated flora of Cyprus. Yiannis Christofides, Cyprus, 383 pp.EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/",
alien_species_cyprus:taxon:00a41a56f126263163d11a567b893ba1,Cyprus,CY,present,introduced,established,contaminantNursery,1958/1962,"Wood, B. J. 1963. Imported and indigenous natural enemies of citrus coccids and aphids in Cyprus, and an assessment of their potential value in integrated control programmes. Entomophaga 8: 67-82.",Date of last observation unavailable.
alien_species_cyprus:taxon:00a41a56f126263163d11a567b893ba1,Cyprus,CY,present,introduced,established,contaminantOnPlants,1958/1962,"Wood, B. J. 1963. Imported and indigenous natural enemies of citrus coccids and aphids in Cyprus, and an assessment of their potential value in integrated control programmes. Entomophaga 8: 67-82.",Date of last observation unavailable.
alien_species_cyprus:taxon:00ca213d7922fe91be5a4754dbbed56f,Cyprus,CY,present,introduced,established,people,2024/2024,"Demetriou J, Koutsoukos E, Makris C, Davranoglou LR, Boulas A, Kakiopoulos G, Georgiadis C, Roy HE, Martinou AF (in press) New records of ten non-native insects (Arthropoda: Insecta) from the island of Cyprus. BioInvasions Records (accepted manuscript)",
alien_species_cyprus:taxon:00fbdaabeb26b66a522a8c88bf80dc70,Cyprus,CY,doubtful,uncertain,casual,transportationHabitatMaterial,2014/2014,"Háva, J., Herrmann, A. & Kadej, M. 2015. New faunistic records of Dermestidae (Insecta: Coleoptera) - Part 13. Vernate 34: 271-274.",Distribution unknown.
alien_species_cyprus:taxon:0115e2239a80c4cb7c83b61e0557433a,Cyprus,CY,present,introduced,,hullFouling,2014/2014,"Gewing MT, Bronstein O, Nagar LR, Granot I, Frid O, Shenkar N (2016) First record of the non-indigenous ascidian Microcosmus exasperatus Heller 1878, in Cyprus. Marine Biodiversity Records 46: 937-941. https://doi.org/10.1007/s12526-015-0442-5",
alien_species_cyprus:taxon:01175b9a44bc8d621df87864b219a605,Cyprus,CY,present,introduced,,unaided,1995/1995,"Buzzurro G, Greppi E (1997) Notes on the mollusks of Cyprus, with special attention to the alloctone species. La Conchiglie 283: 21-31 and 61-62.Katsanevakis S, Tsiamis K, Ioannou G, Michailidis N, Zenetos A (2009) Inventory of alien marine species of Cyprus (2009). Mediterranean Marine Science 10(2): 109-134. https://doi.org/10.12681/mms.113",
alien_species_cyprus:taxon:0150bdc48da1e78003296f5c4e5cbc8a,Cyprus,CY,present,introduced,casual,agriculture,1787/2023,"Meikle RD (1977) Flora of Cyprus, Vol 1.Georgiades C (1995) Η επιγενής χλωρίδα της Κύπρου. Ταξινομική, χλωριδικά, φυτογεωγραφική, οικοφυσιολογική μελέτη. [The adventive flora of Cyprus, taxonomic, floristic, phytogeographic, ecophysiological study]. Ph.D. Thesis, Athens University.Chrtek J, Slavík B (2000) Contribution to the flora of Cyprus. 4. Flora Mediterranea 10: 235-259.",Date of last observation based on iNaturalist observation: https://www.inaturalist.org/observations/151119777
alien_species_cyprus:taxon:0196e8ecaf285eff01936967f91d906f,Cyprus,CY,present,introduced,cultivated,horticulture,,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Christofides Y (2017) Illustrated flora of Cyprus. Yiannis Christofides, Cyprus, 383 pp.",
alien_species_cyprus:taxon:0196e8ecaf285eff01936967f91d906f,Cyprus,CY,present,introduced,cultivated,ornamentalNonHorticulture,,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Christofides Y (2017) Illustrated flora of Cyprus. Yiannis Christofides, Cyprus, 383 pp.",
alien_species_cyprus:taxon:01a1917f68a554dcec36bb8d43ed6532,Cyprus,CY,present,introduced,established,contaminantNursery,2022/2022,"Demetriou J, Georgiadis C, Martinou AF, Roy HE, Wetterer JK, Borowiec L, Economo EP, Triantis KA, Salata S (2023) Running rampant: the alien ants (Hymenoptera, Formicidae) of Cyprus. NeoBiota 88: 17-73. https://doi.org/10.3897/neobiota.88.106750",
alien_species_cyprus:taxon:01a1917f68a554dcec36bb8d43ed6532,Cyprus,CY,present,introduced,established,contaminantOnPlants,2022/2022,"Demetriou J, Georgiadis C, Martinou AF, Roy HE, Wetterer JK, Borowiec L, Economo EP, Triantis KA, Salata S (2023) Running rampant: the alien ants (Hymenoptera, Formicidae) of Cyprus. NeoBiota 88: 17-73. https://doi.org/10.3897/neobiota.88.106750",
alien_species_cyprus:taxon:01a1917f68a554dcec36bb8d43ed6532,Cyprus,CY,present,introduced,established,transportationHabitatMaterial,2022/2022,"Demetriou J, Georgiadis C, Martinou AF, Roy HE, Wetterer JK, Borowiec L, Economo EP, Triantis KA, Salata S (2023) Running rampant: the alien ants (Hymenoptera, Formicidae) of Cyprus. NeoBiota 88: 17-73. https://doi.org/10.3897/neobiota.88.106750",
alien_species_cyprus:taxon:020030b75e13adb53f85b4d7f976b15d,Cyprus,CY,present,introduced,established,biologicalControl,1936/2024,"Georghiou, G. P. 1977. The insects and mites of Cyprus. With emphasis on species of economic importance to agriculture, forestry, man and domestic animals. Benaki Phytopathological Institute. Kiphissia, Athens Greece 347 pp.",
alien_species_cyprus:taxon:0260bef7578d55a291053f3278c4317d,Cyprus,CY,present,introduced,,unaided,2003/2003,"Tzomos T, Chartosia N, Christodoulou M, Kitsos MS (2010) New records and range expansion of lessepsian migrants in the Levantine and Aegean Seas. Marine Biodiversity Records 3(10): 1-5. http://doi.org/10.1017/S1755267209991114",
alien_species_cyprus:taxon:0265aaa7dd207f7a31780fd9a3f2a704,Cyprus,CY,present,introduced,cultivated,ornamentalNonHorticulture,,"Tsintides T, Hadjikyriakou GN, Christodoulou CS (2002) Trees and shrubs in Cyprus. Foundation Anastasios G. Leventis—Cyprus Forest Association, Nicosia, Cyprus.",
alien_species_cyprus:taxon:027044202785eb026e2db53a160b11ba,Cyprus,CY,present,uncertain,established,parasitesOnPlants,2003/2005,"Widmer T, Kirk A, Kirk G, Guermache F (2007) Foliar and Cane Rot of Arundo donax Caused by Nigrospora oryzae in Europe. Plant Disease 90(8):1107.  https://doi.org/10.1094/PD-90-1107A",
alien_species_cyprus:taxon:027abdd13b0005431f1f60da85aba3e2,Cyprus,CY,present,introduced,widespreadInvasive,pet,-9999/2025,"Vigne J-D, Carrere I, Saliege J-F, Person A, Bocherens H, Guilaine J, Briois F (2000) Predomestic cattle, sheep, goat and pig during the late 9th and the 8th millennium cal. BC on Cyprus: preliminary results of Shillourokambos (Perkklisha, Limassol). In Archaeozoology of the Near East IV: proceedings of the 4th International Symposium on the Archaeozoology of Southwestern Asia and Adjacent Areas. Marjan Mashkour, Alice M. Choyke, Hijlke Buitenhuis, and Franc¸ois Poplin, eds. Pp. 52–75. Publicaties 32. Groningen: Centre for Archaeological Research and Consultancy.",
alien_species_cyprus:taxon:02916f3769de32bc11b7ea84a71cb510,Cyprus,CY,present,introduced,widespreadInvasive,contaminantNursery,1890/2011,"Vassiliou, V.A. 2011. Outbreak of Florida red scale Chrysomphalus aonidum L. (Hemiptera: Diaspididae), in Cyprus. Proceedings of the 14th Pan Hellenic Entomological Congress of the Hellenic Entomological Society, pp. 212-214. October 11-14, 2011. Nafplio, Greece.",Data on distribution and last observation unavailable.
alien_species_cyprus:taxon:02916f3769de32bc11b7ea84a71cb510,Cyprus,CY,present,introduced,widespreadInvasive,contaminantOnPlants,1890/2011,"Vassiliou, V.A. 2011. Outbreak of Florida red scale Chrysomphalus aonidum L. (Hemiptera: Diaspididae), in Cyprus. Proceedings of the 14th Pan Hellenic Entomological Congress of the Hellenic Entomological Society, pp. 212-214. October 11-14, 2011. Nafplio, Greece.",Data on distribution and last observation unavailable.
alien_species_cyprus:taxon:02dcb067851feb6e92c50839406cc2ce,Cyprus,CY,doubtful,uncertain,casual,transportationHabitatMaterial,2001/2001,"Assing, V. & P. W wunderle. 2001. On the Staphylinidae of Cyprus (Coleoptera). Entomologische Zeitschrift 111(2): 34-41.","Date of first and last observation not known, earliest known publication year used."
alien_species_cyprus:taxon:02ddf588319e72c43ac914fe0cfc871b,Cyprus,CY,present,introduced,casual,,2019/2020,"Pescott O, Peyton J, Mountford J O (2020). UKSBA Cyprus - Habitat Samples, 2019. Version 1.1. Biological Records Centre. Sampling event dataset https://doi.org/10.15468/c8p4qe accessed via GBIF.org on 2023-04-06.Pescott O L, Peyton J M, Mountford J O (2020). UKSBA Cyprus Plant Records 2018. Version 1.2. Biological Records Centre. Occurrence dataset https://doi.org/10.15468/xp6bam accessed via GBIF.org on 2023-04-06.",
alien_species_cyprus:taxon:032a55d336b1f06c394dcd2b59835364,Cyprus,CY,present,introduced,cultivated,agriculture,/2025,"Meikle RD (1977) Flora of Cyprus, Vol. 1.",
alien_species_cyprus:taxon:0358e321e3acc2710cc396dccc307e56,Cyprus,CY,present,uncertain,casual,contaminantNursery,1967/1967,"Georghiou, G. P. 1977. The insects and mites of Cyprus. With emphasis on species of economic importance to agriculture, forestry, man and domestic animals. Benaki Phytopathological Institute. Kiphissia, Athens Greece 347 pp.",Data on distribution and date of first and last observation unavailable.
alien_species_cyprus:taxon:0358e321e3acc2710cc396dccc307e56,Cyprus,CY,present,uncertain,casual,contaminantOnPlants,1967/1967,"Georghiou, G. P. 1977. The insects and mites of Cyprus. With emphasis on species of economic importance to agriculture, forestry, man and domestic animals. Benaki Phytopathological Institute. Kiphissia, Athens Greece 347 pp.",Data on distribution and date of first and last observation unavailable.
alien_species_cyprus:taxon:0361b25b2b4fcdebbdd420a08813a926,Cyprus,CY,present,uncertain,casual,,1900/,"Meikle RD (1985) Flora of Cyprus, Vol. 2.Slavík B, Jarolímová V, Chrtek J (2002) Chromosome counts of some plants from Cyprus. 2. Acta Universitatis Carolinae. Biologica 46: 295-302Hand R, Hadjikyriakou GN, Christodoulou CS (Eds) (2011) – (continuously updated) Flora of Cyprus – a dynamic checklist. Published at http://www.flora-of-cyprus.eu/; accessed 22nd May 2020. https://www.flora-of-cyprus.eu/cdm_dataportal/taxon/4a88491c-37a8-404d-948a-47b8d1a59f4aChristofides Y (2017) Illustrated flora of Cyprus. Yiannis Christofides, Cyprus, 383 pp.",
alien_species_cyprus:taxon:03d91dced9c201fe36cebc3a8d49f539,Cyprus,CY,present,introduced,casual,agriculture,1862/1994,"Meikle RD (1977) Flora of Cyprus, Vol 1.Georgiades C (1995) Η επιγενής χλωρίδα της Κύπρου. Ταξινομική, χλωριδικά, φυτογεωγραφική, οικοφυσιολογική μελέτη. [The adventive flora of Cyprus, taxonomic, floristic, phytogeographic, ecophysiological study]. Ph.D. Thesis, Athens University.",
alien_species_cyprus:taxon:03fefa79b4093b9a46df581d36be1a94,Cyprus,CY,present,introduced,,contaminantNursery,,NHML Data Portal (2024) https://doi.org/10.5519/qd.pux4jduo,Date of first and last observation unavailable.
alien_species_cyprus:taxon:03fefa79b4093b9a46df581d36be1a94,Cyprus,CY,present,introduced,,contaminantOnPlants,,NHML Data Portal (2024) https://doi.org/10.5519/qd.pux4jduo,Date of first and last observation unavailable.
alien_species_cyprus:taxon:041499bd60a7423a1564957910d909d8,Cyprus,CY,present,introduced,,unaided,1964/2024,"Demetropoulos A, Neoclecous D (1969) The fishes and crustaceans of Cyprus. Fisheries Bulletin, Ministry of Agriculture and Natural Resources, Fisheries Department 1: 1-21.Katsanevakis S, Tsiamis K, Ioannou G, Michailidis N, Zenetos A (2009) Inventory of alien marine species of Cyprus (2009). Mediterranean Marine Science 10(2):109-134. https://doi.org/10.12681/mms.113",Date of last observation based on iNaturalist observation: https://www.inaturalist.org/observations/295096774
alien_species_cyprus:taxon:047204eafbc013d4458d7f8c8ead84df,Cyprus,CY,present,uncertain,casual,foodContaminant,1924/1924,"Georghiou GP (1977) The insects and mites of Cyprus. With emphasis on species of economic importance to agriculture, forestry, man and domestic animals. Benaki Phytopathological Institute. Kiphissia, Athens, Greece, 347 pp.; Morris HM (1937) Injurious insects of Cyprus. Agricultural Department of Cyprus, Bulletin 4 (Ent. Ser. ) 21 pp.","Date of first observation not known, earliest known publication year used. Data on distribution and date of first and last observation unavailable."
alien_species_cyprus:taxon:047ea18f05857a87711ab3885621eb25,Cyprus,CY,present,uncertain,casual,foodContaminant,1924/1935,"Morris, H. M. 1937. Injurious insects of Cyprus. Agricultural Department of Cyprus, Bulletin 4 (Ent. Ser. ) 21 p.; Georghiou, G. P. 1977. The insects and mites of Cyprus. With emphasis on species of economic importance to agriculture, forestry, man and domestic animals. Benaki Phytopathological Institute. Kiphissia, Athens Greece 347 pp.","Date of first observation not known, earliest known publication year used. Data on last observation unavailable."
alien_species_cyprus:taxon:04c6cff870131ef04bda55a63d52b2da,Cyprus,CY,present,introduced,casual,horticulture,2021/2021,Hand R. 2022: New noteworthy records of flowering plants in Cyprus (2019–2021) and some status clarifications. Cypricola 20: 1–10.,
alien_species_cyprus:taxon:04c6cff870131ef04bda55a63d52b2da,Cyprus,CY,present,introduced,casual,ornamentalNonHorticulture,2021/2021,Hand R. 2022: New noteworthy records of flowering plants in Cyprus (2019–2021) and some status clarifications. Cypricola 20: 1–10.,
alien_species_cyprus:taxon:051f0e20dba975378eecda80a7776481,Cyprus,CY,present,introduced,casual,seedContaminant,1859/1859,"Meikle RD (1977) Flora of Cyprus, Vol. 1.EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/",
alien_species_cyprus:taxon:057e03751ff084eeab58be5abcb94cb8,Cyprus,CY,present,introduced,widespreadInvasive,parasitesOnAnimals,2022/2025,"Japoshvili G, Koutsoukos E, Vamvakas G, Perdikis D, Demetriou J (2023) New records of Encyrtid wasps (Hymenoptera: Chalcidoidea) from Greece and Cyprus with the description of a new species associated with Macrohomotoma gladiata Kuwayama (Hemiptera: Psylloidea). Phytoparasitica 51(4): https://doi.org/10.1007/s12600-023-01105-7","Date of last observation based on preserved specimens (leg. E. Koutsoukos & J. Demetriou, Akrotiri UK SBA)"
alien_species_cyprus:taxon:057e03751ff084eeab58be5abcb94cb8,Cyprus,CY,present,introduced,widespreadInvasive,parasitesOnPlants,2022/2025,"Japoshvili G, Koutsoukos E, Vamvakas G, Perdikis D, Demetriou J (2023) New records of Encyrtid wasps (Hymenoptera: Chalcidoidea) from Greece and Cyprus with the description of a new species associated with Macrohomotoma gladiata Kuwayama (Hemiptera: Psylloidea). Phytoparasitica 51(4): https://doi.org/10.1007/s12600-023-01105-7","Date of last observation based on preserved specimens (leg. E. Koutsoukos & J. Demetriou, Akrotiri UK SBA)"
alien_species_cyprus:taxon:057e03751ff084eeab58be5abcb94cb8,Cyprus,CY,present,introduced,widespreadInvasive,contaminantNursery,2022/2025,"Japoshvili G, Koutsoukos E, Vamvakas G, Perdikis D, Demetriou J (2023) New records of Encyrtid wasps (Hymenoptera: Chalcidoidea) from Greece and Cyprus with the description of a new species associated with Macrohomotoma gladiata Kuwayama (Hemiptera: Psylloidea). Phytoparasitica 51(4): https://doi.org/10.1007/s12600-023-01105-7","Date of last observation based on preserved specimens (leg. E. Koutsoukos & J. Demetriou, Akrotiri UK SBA)"
alien_species_cyprus:taxon:058257000782fd01f5925f82ed23c3cb,Cyprus,CY,present,introduced,invasive,agriculture,1997/2025,Hadjikyriakou G (2007) Contribution to the study of the flora of Cyprus 7 [Συμβολή στη μελέτη της χλωρίδας της Κύπρου 7]. Dasoponos 30: 7-10.Hand R (2019) Further noteworthy records of vascular plants in Cyprus (1997–2018) and some status clarifications. Cypricola 12: 1-17.EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/,Date of last observation based on iNaturalist observation: https://www.inaturalist.org/observations/269358082
